1,260,2
782,719,868
868,954,782
952,955,866
952,866,780
719,782,671
1040,954,868
4131,4067,3994
695,522,609
609,780,695
695,780,866
604,780,609
171,262,172
952,780,867
1122,955,952
831,1004,911
1178,1004,1096
2275,2401,2400
2401,2545,2400
1910,2079,1992
628,799,710
714,799,628
175,293,349
6,5,175
175,5,293
327,13,12
719,671,607
776,671,782
1471,1385,1362
1213,1385,1298
1362,1385,1213
1642,1728,1557
1557,1471,1642
1385,1471,1557
2232,2401,2275
71,70,316
3796,3948,3873
3873,4023,3949
3948,4023,3873
4162,4092,4232
452,623,533
886,799,714
886,970,799
1992,2079,2160
5161,5214,5261
6101,6124,6137
258,171,170
262,171,258
262,258,432
432,258,347
521,604,432
432,347,521
262,348,259
173,172,259
172,262,259
1727,1639,1554
1897,1812,1727
1727,1812,1639
1384,1556,1386
780,604,694
694,867,780
694,604,521
955,1122,1127
1127,1122,1295
1384,1299,1470
1554,1639,1470
1210,1299,1384
1210,1126,1299
4411,4343,4275
3116,3199,3281
3281,3199,3358
369,199,283
991,900,818
818,911,991
1004,1178,1085
991,911,1085
1085,911,1004
1640,1728,1807
1640,1557,1728
1745,1914,1828
1828,1657,1745
803,886,714
714,628,543
288,19,18
286,21,20
808,981,893
900,981,808
539,628,710
710,623,539
539,452,369
623,452,539
293,5,4
289,175,349
6,175,289
777,602,691
690,602,777
690,517,602
601,517,690
495,327,417
433,607,519
519,607,671
261,4,3
293,4,261
346,260,433
433,519,346
346,519,430
346,2,260
671,776,603
603,519,671
430,519,603
1362,1213,1211
1807,1728,1898
1895,2035,1979
1807,1898,1895
1895,1898,2035
2275,2400,2213
2400,2318,2213
5698,5659,5734
455,368,280
279,57,56
58,57,184
184,278,58
184,57,279
48,191,272
272,49,48
193,49,272
1095,1261,1180
1668,1498,1581
2675,2591,2755
2758,2676,2840
2594,2676,2758
2263,2177,2345
4172,4102,4243
4243,4314,4172
4026,3952,3876
4028,4102,4172
3951,3876,3799
4026,3876,3951
3561,3640,3718
3483,3640,3561
3797,3873,3949
4022,3947,4095
4095,4166,4022
3871,3947,3795
3795,3719,3871
3642,3719,3795
4566,4692,4632
4162,4232,4303
4303,4232,4371
4235,4094,4163
4159,4300,4231
4235,4373,4307
4307,4373,4442
4021,3947,3871
4095,3947,4021
282,199,369
369,452,282
282,26,199
273,28,197
358,196,273
273,446,358
533,446,363
363,452,533
363,273,197
446,273,363
197,282,363
363,282,452
619,446,533
970,886,1056
1141,1056,1228
970,1056,1141
710,799,881
799,970,881
6045,6005,6025
5968,6000,6025
6025,6005,5968
5968,6005,5964
5964,5926,5968
4193,4122,4048
4048,4121,4193
5384,5288,5334
5477,5446,5384
5384,5426,5477
5334,5426,5384
4907,4966,4849
5205,5182,5096
4787,4874,4757
5477,5426,5505
5358,5426,5334
3994,4067,3938
3993,4131,3994
5281,5238,5181
5132,5238,5205
5205,5096,5132
5077,5181,5132
5132,5181,5238
5214,5161,5108
4884,4942,4999
4826,4942,4884
5063,5115,5004
4382,4314,4449
6019,6005,6045
6019,5997,5969
6043,5997,6019
5969,5964,6019
6019,5964,6005
6106,6068,6085
6085,6068,6043
6106,6124,6089
6124,6101,6089
6089,6068,6106
6143,6119,6107
6143,6159,6169
3604,3534,3443
3443,3376,3535
3669,3604,3535
3535,3604,3443
3535,3717,3669
3276,3456,3369
3290,3376,3443
3443,3272,3290
3191,3376,3290
5803,5832,5867
5763,5832,5803
5763,5796,5832
5726,5763,5803
5688,5763,5726
608,694,521
436,604,609
436,432,604
609,522,436
522,348,436
436,348,262
262,432,436
1897,1982,2066
1639,1812,1721
1721,1812,1813
1813,1662,1721
1285,1210,1384
1384,1386,1285
1285,1386,1295
1295,1122,1285
1122,1210,1285
1039,1210,1122
1126,1210,1039
953,1126,1039
1039,867,953
952,867,1039
1039,1122,952
2857,2778,2693
3191,3031,3107
3121,3031,3191
3191,3290,3121
3121,3290,3272
2770,2853,2935
2688,2853,2770
3346,3266,3187
4475,4343,4411
4543,4475,4411
4605,4475,4543
4206,4275,4343
4757,4874,4846
4846,4730,4757
4724,4789,4847
3979,4054,3905
3826,3899,3747
4259,4386,4341
4462,4586,4541
199,26,25
24,283,25
25,283,199
197,28,27
27,282,197
26,282,27
24,23,201
201,283,24
371,283,201
369,283,456
456,283,371
456,539,369
628,539,456
371,543,456
456,543,628
583,756,665
583,495,417
665,495,583
842,756,675
756,583,675
665,756,839
1443,1359,1530
1824,1910,1992
1571,1400,1487
1487,1657,1571
1832,1914,1745
890,803,717
545,633,717
974,803,890
886,803,974
974,1056,886
545,717,631
631,717,803
631,803,714
714,543,631
203,21,286
286,373,203
16,294,17
13,327,234
204,20,19
286,20,204
204,19,288
727,818,900
900,808,727
644,818,727
727,808,635
207,375,288
294,375,207
17,294,207
207,18,17
288,18,207
471,375,294
644,727,549
549,727,635
549,471,644
375,471,549
190,56,55
279,56,190
518,289,349
518,691,602
6,289,7
245,9,345
417,344,515
601,675,515
515,583,417
515,675,583
848,690,777
665,839,748
430,261,174
174,346,430
174,261,3
3,2,174
2,346,174
1124,1213,1298
430,603,435
293,261,435
435,261,430
2049,1898,1867
1867,1898,1728
1867,1728,1642
2081,1898,2049
2035,1898,2081
2049,2232,2081
2081,2213,2035
2081,2232,2275
2275,2213,2081
1979,2065,1894
4080,4007,4149
5698,5734,5773
5773,5735,5698
5699,5734,5659
5487,5532,5576
5440,5532,5487
5910,5964,5969
5926,5964,5910
5910,5875,5844
5696,5735,5770
5732,5696,5770
65,64,281
542,368,455
281,368,457
457,370,281
368,542,457
58,278,59
180,280,62
62,280,63
47,191,48
189,46,45
50,49,193
50,274,51
193,274,50
620,792,706
706,792,879
879,793,706
620,706,532
5756,5728,5682
3879,3728,3802
3879,3803,3728
2930,3014,2850
3015,2851,2931
2931,3094,3015
3014,3094,2931
2850,3014,2931
316,70,198
70,69,198
198,376,316
490,412,316
316,376,490
546,459,634
372,459,546
634,721,546
546,721,640
372,546,461
461,546,640
664,490,561
561,490,376
376,461,561
561,461,640
660,753,830
1095,1180,1015
2349,2267,2179
1583,1412,1499
1593,1676,1505
2007,1838,1922
1752,1838,1668
1668,1581,1752
1837,1922,1752
